2020-04-20 14:04:109 INFO  AccountPage :90 - Entering Amount To Withdrawl :50in withdrawl field :[[ChromeDriver: chrome on WINDOWS (61fe056220666b39dabca743987fb502)] -> xpath: //input[@placeholder='amount']]
2020-04-20 14:04:189 INFO  AccountPage :96 - Clicking On Withdraw feature :[[ChromeDriver: chrome on WINDOWS (61fe056220666b39dabca743987fb502)] -> xpath: //button[@class='btn btn-default']]
2020-04-20 14:04:211 INFO  AccountPage :119 - Getting Error Message :[[ChromeDriver: chrome on WINDOWS (61fe056220666b39dabca743987fb502)] -> xpath: //span[@class='error ng-binding']]
2020-04-20 14:04:334 INFO  AccountPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (61fe056220666b39dabca743987fb502)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:587 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:320 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (1c936167b674d26b096079b555838601)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:477 INFO  BankManagerLoginPage :48 - Clicking On Customer Tab :[[ChromeDriver: chrome on WINDOWS (1c936167b674d26b096079b555838601)] -> xpath: //button[contains(text(),'Customers')]]
2020-04-20 14:04:935 INFO  CustomersPage :50 - Searching customer name: Hermoineto search customer field :[[ChromeDriver: chrome on WINDOWS (1c936167b674d26b096079b555838601)] -> xpath: //input[@placeholder='Search Customer']]
2020-04-20 14:04:102 INFO  CustomersPage :56 - Deleting Customer Name :Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Delete')]'
2020-04-20 14:04:88 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-20 14:04:843 INFO  HomePage :42 - Clicking On BankManager Login :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2020-04-20 14:04:936 INFO  BankManagerLoginPage :36 - Clicking On Add Customer Tab :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[contains(text(),'Add Customer')]]
2020-04-20 14:04:208 INFO  AddCustomerPage :38 - Entering FirstName : Hermoineto firstname field :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //input[@placeholder='First Name']]
2020-04-20 14:04:517 INFO  AddCustomerPage :44 - Entering LastName :Grangerto lastname field :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //input[@placeholder='Last Name']]
2020-04-20 14:04:629 INFO  AddCustomerPage :49 - Entering Postcode :E859ACin postcode field :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //input[@placeholder='Post Code']]
2020-04-20 14:04:654 INFO  AddCustomerPage :53 - Clicking On AddCustomer Button :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //form[@name='myForm']//button[contains(text(),'Add Customer')]]
2020-04-20 14:04:887 INFO  BankManagerLoginPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:54 INFO  HomePage :42 - Clicking On BankManager Login :Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Bank Manager Login')]'
